"V1","V2","V3"
1,1,814
1,1,1368
1,1,1452
1,1,1515
1,1,1521
1,1,2997
1,1,2998
1,1,3001
1,1,3002
1,1,3004
1,1,3005
1,1,3324
1,1,3643
1,1,3771
1,1,4212
1,1,4538
1,1,4652
1,1,5839
1,1,6215
1,1,6222
1,1,10565
1,1,10571
1,1,10577
1,1,10610
1,1,11827
1,1,11829
1,1,14825
1,1,14997
1,1,18426
1,1,18446
1,1,18580
1,1,18581
1,1,18582
1,2,236
1,2,1790
1,2,1850
1,2,3711
1,2,3713
1,2,6034
1,2,6071
1,2,6371
1,2,7517
1,2,7905
1,2,7926
1,2,8562
1,2,8921
1,2,9782
1,2,10207
1,2,11465
1,2,11755
1,2,12137
1,2,12408
1,2,12524
1,2,12646
1,2,13607
1,2,13732
1,2,13960
1,2,14328
1,2,15121
1,2,15165
1,2,16373
1,2,18533
1,2,19662
1,2,20514
1,2,20830
1,2,23150
1,3,25
1,3,29
1,3,32
1,3,33
1,3,39
1,3,40
1,3,41
1,3,42
1,3,43
1,3,44
1,3,45
1,3,46
1,3,48
1,3,56
1,3,66
1,3,71
1,3,73
1,3,74
1,3,78
1,3,79
1,3,80
1,3,83
1,3,84
1,3,85
1,3,91
1,3,92
1,3,93
1,3,94
1,3,95
1,3,96
1,3,98
1,3,105
1,3,108
1,3,111
1,3,112
1,3,114
1,3,119
1,3,123
1,3,126
1,3,133
1,3,134
1,3,137
1,3,140
1,3,142
1,3,155
1,3,157
1,3,163
1,3,164
1,3,165
1,3,166
1,3,169
1,3,175
1,3,190
1,3,192
1,3,202
1,3,218
1,3,219
1,3,221
1,3,231
1,3,235
1,3,236
1,3,251
1,3,252
1,3,253
1,3,267
1,3,268
1,3,269
1,3,270
1,3,278
1,3,279
1,3,283
1,3,289
1,3,301
1,3,305
1,3,315
1,3,316
1,3,318
1,3,319
1,3,325
1,3,327
1,3,332
1,3,333
1,3,357
1,3,358
1,3,360
1,3,363
1,3,368
1,3,369
1,3,370
2,1,125
2,1,137
2,1,929
2,1,932
2,1,954
2,1,955
2,1,968
2,1,976
2,1,977
2,1,1468
2,1,3717
2,1,3718
2,1,4801
2,1,5132
2,1,5133
2,1,5137
2,1,5531
2,1,5669
2,1,6957
2,1,8726
2,1,10710
2,1,11846
2,1,14036
2,1,14037
2,1,14567
2,1,14571
2,1,14607
2,1,14635
2,1,14670
2,1,14671
2,1,17014
2,1,17081
2,1,18010
2,1,18011
2,1,18705
2,1,19338
2,1,19339
2,1,19340
2,2,1139
2,2,1591
2,2,2761
2,2,3566
2,2,3982
2,2,4918
2,2,6007
2,2,6476
2,2,6791
2,2,7347
2,2,7964
2,2,8664
2,2,8834
2,2,8955
2,2,9007
2,2,10363
2,2,11688
2,2,11993
2,2,12754
2,2,13252
2,2,14515
2,2,14718
2,2,14932
2,2,14942
2,2,15570
2,2,16039
2,2,17624
2,2,18199
2,2,18825
2,2,20160
2,2,20262
2,2,20800
2,2,20935
2,2,22685
2,2,22936
2,2,23256
2,2,24567
2,2,24577
2,3,25
2,3,29
2,3,32
2,3,33
2,3,39
2,3,40
2,3,41
2,3,42
2,3,43
2,3,45
2,3,46
2,3,48
2,3,56
2,3,66
2,3,71
2,3,73
2,3,78
2,3,79
2,3,80
2,3,83
2,3,84
2,3,85
2,3,91
2,3,92
2,3,93
2,3,94
2,3,95
2,3,96
2,3,98
2,3,105
2,3,107
2,3,108
2,3,111
2,3,112
2,3,114
2,3,115
2,3,119
2,3,123
2,3,126
2,3,133
2,3,134
2,3,136
2,3,137
2,3,140
2,3,142
2,3,155
2,3,157
2,3,163
2,3,164
2,3,165
2,3,166
2,3,169
2,3,175
2,3,190
2,3,192
2,3,202
2,3,203
2,3,218
2,3,219
2,3,221
2,3,235
2,3,236
2,3,251
2,3,252
2,3,253
2,3,267
2,3,268
2,3,269
2,3,270
2,3,278
2,3,279
2,3,283
2,3,289
2,3,301
2,3,305
2,3,315
2,3,316
2,3,318
2,3,319
2,3,325
2,3,327
2,3,332
2,3,333
2,3,343
2,3,357
2,3,358
2,3,360
2,3,363
2,3,368
2,3,369
2,3,370
3,1,3235
3,1,3794
3,1,4304
3,1,4305
3,1,4306
3,1,6593
