"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V1","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
3.451255,3.13616036,2.836246726,3.4621635,3.30150304,2.9088597,3.3234149,2.23748813,3.6163377,3.04962165,3.6008686,3.150396,3.046237,2.90633344,7.0124266,11.2501193,5.6077211,3.8697537,4.0258182,2.99777564,2.92023696,2.668740024,3.9019866,3.3855208,3.18952138,3.3459556,3.15865706,2.777942433,3.35950796,2.36444773,3.4659193,3.24958695,3.40626006,3.8523238,3.3606496,3.02361615,3.47477077,6.5017156,2.1131309,3.5204917,1.1156487,2.93753345,2.72500456,3.7815631,2.8599692,3.3178787,1.0002785,1.96191327,3.5241857,2.98501679,10.6278646,2.08821307,1.0384708,2.97324976,3.7397857,3.34278284,2.5169038,5.7766487,3.6925565,3.4052712,3.49492465,3.23797433,2.77792954,5.5516097,4.9182908,4.2067103,3.21370272,2.698856716,3.48813735,2.778429535,3.36733,3.5107789,3.25308208,3.10218467,3.03301094,3.26249735,8.9374859,3.21716727,3.5181901,3.15604414,2.98810841,3.9298881,3.5094338,3.72684805,3.1627919,2.4600494,3.46976684,3.6470301,3.5393869,3.46374343,3.4346996,3.09390335,1.000029,3.6937809,3.01890988,2.6352716,2.43763326,2.91709424,3.0260841,4.4225309,4.4502489,2.17498694,3.6729723,2.95077139,5.6711035,3.18042837,3.7495952,5.4710638,3.69536416,2.840506015,2.99896805,3.4571131,3.14907975,3.4507219,3.2743294,3.65397654,29.3559593,3.11326925,4.1607553,3.0695228,2.791874704,3.0194247,2.0670165,3.38986276,1.1409673,3.4402656,1.6256405,1.2098857,3.40272234,1.0892609,3.20821003,2.50090526,3.2005607,3.7864265,6.6839981,1.1143691,2.57950692,2.96961054,3.59593056,2.785615952,4.8095934,4.0265702,3.1018053,3.30219637,3.02117134,3.19808866,3.7777299,3.6869412,3.1958228,3.2031941,3.0840942,3.47065626,1.0202535,1.5048763,3.0644792,3.34189926,3.23829694,2.89710797,3.5513255,3.3825429,2.95706427,2.84537749,3.7978295,3.0979081,3.06671495,3.1063233,22.0090763,4.6398609,3.7569977,2.399162,3.15580256,3.13929628,3.01629425,3.8402778,1.0156431,2.47445123,3.6024761,2.65229079,2.668295396,3.1948341,2.128871,3.15200202,20.2717043,3.14539204,2.93387758,3.0008486,2.739075772,3.21791427,21.4700043,3.20408748,2.794877668,3.3618509,3.0191218,4.935976,3.02776699,3.6227999,2.70760183,7.3197763,4.7895968,2.88989088,1.0757326,3.10408206,3.22676162,5.2713189,3.01881732,3.2547517,6.8701393,3.5105406,4.8592799,6.4738748,4.6231758,2.7647315885
3.4168761,3.13616036,2.83653887,3.3655544,3.3087041,2.90988515,3.2784165,3.9638473,3.5460578,3.0491115,3.5968765,3.6891949,3.046237,2.95403465,7.0061653,10.8711233,6.871959,3.31800054,3.9160732,2.99777564,2.91981423,2.8770966,3.9420519,3.3771833,3.1929763,3.3482243,3.1942914,2.815551997,3.35854785,2.36074023,3.7163211,3.27926104,3.42294274,3.8608626,3.36636017,3.00076636,3.471155,6.4777767,2.2228065,3.3747219,1.1850275,3.18171526,2.86522457,3.7642075,2.49324412,3.32386635,1.0002597,1.93276785,3.50362526,2.86700989,10.4739988,2.2189231,1.0277461,2.4588004,3.72878013,3.3453599,2.5048539,6.8925223,3.8334286,3.5518593,3.11157752,3.24484853,2.777454862,4.6683101,6.3119261,4.1845409,3.19209788,2.7625734426,3.49941765,2.711435606,3.36586426,3.43563924,3.2622772,3.06172557,2.99711258,3.16792868,1.0324036,3.2181671,3.4360286,3.12670962,2.93511963,4.2548348,3.5244639,3.52986876,3.1627769,2.4597366,3.41169296,3.7090245,3.54593704,3.4465299,3.5784567,3.4349444,1,4.0251859,3.0189179,2.63484489,2.60539111,2.857541454,3.05262167,5.1676953,4.4479127,2.17452953,3.6759488,2.95059652,6.3593936,3.64118705,3.53676454,5.6785075,3.69630025,2.84604431,3.01631932,3.45173745,3.17413474,3.4470495,3.24856157,3.9481737,26.6351863,3.1134472,4.1347298,3.06422342,2.732462105,3.0189036,1.79559396,3.4539065,1.0171433,3.6607325,1.2234026,1.3161664,3.3857143,1.234279,3.18342252,2.50103365,3.1887491,3.70174215,6.3653776,1.286299,2.92449426,2.96926973,3.61541806,6.598737,4.7206615,4.0213661,3.1194682,3.30147116,3.02073557,3.10864903,3.8952865,3.714135,3.19554232,3.20510076,3.08498974,3.4111596,1.0061048,1.5536159,3.06551517,3.377791,3.23920242,2.9334402,3.54630284,3.3567897,2.12772135,2.86681168,3.8816815,3.24153284,2.807198194,3.19759203,30.3533193,4.4870884,4.4676443,2.37045686,3.15410392,3.13929628,3.01629425,3.7477521,1.0117493,2.47413005,3.5728615,2.64930823,2.84439267,3.19080986,2.1285192,3.152441,15.8443963,3.70308254,2.93957837,3.06794978,2.97039829,3.25306518,20.3649113,3.0778014,2.92042923,3.3974774,3.04697634,5.1593656,3.07382755,3.5444831,2.54875886,6.6252241,4.6374477,2.8901975,1.0373213,3.1024741,3.1811797,5.4310348,3.09001757,3.25482242,10.230026,3.5464657,6.5015313,6.2625593,4.7866993,2.802676206
3.4368035,3.13616036,2.83646841,3.39056353,3.30525855,2.91162441,3.28696964,3.49461655,3.71904985,3.04926665,3.5973858,4.4277679,3.046237,2.9471227,7.4662463,11.2902993,7.8585226,3.53512685,3.9632565,2.99777564,2.92001547,1.7020248,3.9330727,3.38217924,3.19164417,3.3477735,3.30062256,2.82119212,3.36035286,2.36515297,3.66644,3.2862619,3.44880436,3.8751297,3.44695495,3.01346422,3.4971251,6.7363673,2.19624756,3.4499841,1.228057,3.27546946,3.04225893,3.7696941,4.0543169,3.3230943,1.0000729,1.9355158,3.5351274,2.82067879,10.6196003,2.2364455,1.0209447,2.26174302,3.7312703,3.338682,2.53269714,5.8405643,3.814558,3.5440057,6.3579563,3.2509323,2.777562714,9.1297563,6.1566073,4.215813,3.16890658,2.751927117,3.5055196,2.7646219373,3.36624525,3.4297138,3.2557541,3.266945,2.9966194,3.19554497,1.0007108,3.21791003,3.4799937,3.13342793,2.9720587,4.1657303,3.513569,3.7852108,3.16309075,2.45980753,3.4168226,3.5916517,3.5471434,3.45438806,3.5419064,3.5001554,9.2571263,4.0523358,3.01870845,2.63488335,2.53968209,3.11500995,3.07409598,5.9580431,4.3796187,2.1748195,3.7068586,2.95062448,6.5749466,4.1700246,3.62145816,6.2940543,3.6924248,2.851118495,3.02401514,3.4568565,3.24770556,3.44575076,3.28139923,4.2064017,61.9214293,3.1134371,4.0942368,3.0654876,2.38037418,3.01905782,2.00088666,3.74370114,1.0156592,3.5021475,1.0337466,1.075567,3.39023785,1.0421955,3.18480305,2.5008952,3.22226147,3.6987257,6.7062247,2.0229662,2.35055078,2.96940674,3.6520647,1.042052,4.9765701,4.0225104,3.12423075,3.3004362,3.0213432,3.135835,3.6640967,3.73186247,3.19670225,3.20972104,3.08339108,3.67276846,1.0103674,1.5335486,3.06556786,3.3769795,3.3047998,2.95839709,3.56186615,3.3707414,2.66369969,2.89044323,3.8804365,3.2178544,3.33852116,3.22566013,30.6827153,4.4936298,4.3584347,2.39357833,3.13634886,3.13929628,3.01629425,3.7886019,1.0001759,2.47578437,3.5655139,2.650468794,2.769754419,3.1927511,2.12867443,3.1522832,17.2189753,3.9351598,2.95486401,3.04376168,3.23484213,3.25154526,24.7149383,3.06796105,2.9318866,3.39665846,3.07530685,3.9946259,3.10484542,3.49261085,2.55382476,7.6484313,5.3848529,2.89068195,1.3478818,3.10237463,3.1646626,5.3848085,3.12498162,3.25706087,10.1501243,3.53967766,7.023947,6.6451268,5.127543,2.96868102
3.4319499,3.13616036,2.836489496,3.4258723,3.32642714,2.91195923,3.3030399,5.304959,3.813387,3.04933475,3.5978084,4.0294411,3.046237,2.92591578,6.4302807,7.6843873,4.805547,3.71926234,3.9832144,2.99777564,2.92016181,1.7119413,3.917667,3.41034786,3.20648704,3.3621821,3.30175833,2.814027538,3.3594648,2.36957283,3.57784424,3.3364525,3.46654205,3.8448869,3.3906981,3.0133887,3.4861088,6.3240945,2.1964491,3.44669144,1.2528353,3.13599916,2.92186941,3.7809516,4.1291297,3.31671385,1.0014303,1.93914185,3.5057226,2.72493854,9.9092586,2.2110011,1.0259346,2.32396702,3.73394416,3.3327681,2.53449064,5.3893343,3.8485048,3.5921759,6.1973513,3.2452047,2.777928942,8.2562296,6.461174,4.2912087,3.17050658,2.760454454,3.4992914,2.77676116,3.3662161,3.4448266,3.2582298,3.25646518,2.98183144,3.22679795,1.0002526,3.2179345,3.49441145,3.13785897,2.9743534,3.8837215,3.5126621,3.817962,3.1631038,2.46000717,3.4465362,3.5960725,3.5459413,3.4644507,3.51337723,3.54139875,10.8592493,4.0998809,3.01865957,2.6352804,2.52525668,3.11118714,3.0549812,5.329973,4.2989741,2.17472927,3.57469724,2.95081743,6.9005925,4.0912561,3.50272254,5.5357115,3.653969,2.84675951,2.99867774,3.44612317,3.24066855,3.4482091,3.2634156,4.0879005,60.9570693,3.1131753,4.2901295,3.0656725,1.9964296,3.01927434,1.9242183,3.68119715,1.0055223,3.5699829,1.0457427,1.0732305,3.4028824,1.1233576,3.19405798,2.50132368,3.2208127,3.7410331,6.7914908,1.0002515,2.31783162,2.9694738,3.56412475,7.3272197,4.8720381,4.02642,3.11924316,3.3034097,3.02138324,3.16580812,3.68188666,3.72621755,3.19659154,3.2068236,3.08477176,3.62470107,1.0087336,1.4955814,3.0639539,3.38227974,3.30412446,2.95250192,3.55967,3.35938476,2.60112905,2.89650763,3.7909607,3.1629168,3.3009907,3.10629485,30.3978693,4.5858741,4.4255757,2.369979,3.13972677,3.13929628,3.01629425,3.7915327,1.0097527,2.47531427,3.5630794,2.6500643,2.69004286,3.1921603,2.1284706,3.15203155,19.5903423,3.7630735,2.94535054,3.0117657,2.78984225,3.2512823,21.7052183,3.14687417,3.01078106,3.37561415,3.04261635,3.74365554,3.1200153,3.4767356,2.5769103,7.5119753,4.9752788,2.89022107,1.203973,3.10344012,3.19579603,5.4466116,3.1028946,3.25784187,9.607887,3.45926897,5.6529176,6.2748133,4.6447722,2.93191267
3.41786997,3.13616036,2.83663227,3.32267414,3.2951426,2.90910223,3.27853404,3.5642276,3.6126306,3.04903505,3.59911047,3.40497254,3.046237,2.9943336,7.7437336,10.2506513,8.7709319,3.50257425,3.9248644,2.99777564,2.91995597,2.91743393,3.9371116,3.3318487,3.18785505,3.35431175,3.2825101,2.818534465,3.35841207,2.34863426,4.0152428,3.2736583,3.4610531,3.8678661,3.34917335,2.96904374,3.47332607,6.7044232,2.37277336,3.3117882,1.2976055,2.89697115,3.147436,3.7750737,3.36597244,3.32149945,1.0001186,1.9287841,3.49498383,2.795977813,10.5904303,2.44084824,1.0250857,2.810930432,3.728545,3.3476374,2.54011467,6.8887727,3.56160085,3.5395741,4.9862408,3.24233825,2.77779558,7.2612917,6.1135497,4.2088194,3.20822082,2.7608565326,3.5119379,2.7401241,3.36446653,3.45167945,3.2613493,3.13916655,2.98626728,3.20726056,5.7605548,3.21833504,3.4665328,3.09996347,2.93468861,3.6287934,3.51176296,3.5970731,3.16277484,2.45988403,3.37222306,3.6919292,3.56667356,3.4539653,3.5297348,3.56112645,1.0105799,3.56157873,3.01889814,2.63519353,2.789168888,2.91222486,3.04061667,5.1186969,4.4711219,2.1745244,3.485367,2.95039783,6.9899218,4.1732391,3.5197691,5.5479476,3.66364626,2.85208806,3.03517817,3.4510342,3.2845323,3.4498272,3.23504154,4.2179398,51.1542493,3.1132414,4.0564873,3.06375934,3.0986969,3.0190765,1.89798264,3.372937,1.0187849,3.71871774,1.3959422,1.2005722,3.3946052,1.0440086,3.17038037,2.50087048,3.19522644,3.6978165,5.4662757,3.50368,2.82362877,2.96933959,3.61801974,1.0346774,5.1135394,4.0242599,3.12023772,3.2997863,3.02090107,3.1978012,3.8628269,3.69852756,3.19557292,3.20296482,3.08469055,3.6659572,1.0055914,1.5557643,3.06477026,3.3826335,3.2353967,2.96622118,3.5514454,3.3158901,1.6883113,2.89195783,3.8048351,3.20363147,2.87391444,3.37937496,27.6638913,4.6124831,4.4178408,2.38903795,3.15876625,3.13929628,3.01629425,3.7693382,1.0001496,2.47173737,3.5499298,2.64958509,2.95273062,3.18832652,2.12867956,3.15222646,24.5598853,4.0410278,2.95377941,3.047948,3.4843498,3.2605736,25.0740423,2.8840198,2.95662838,3.3629701,3.12077705,4.7931092,3.14000396,3.4690493,2.5617107,6.2703662,4.5368035,2.89014913,1.0707451,3.10243572,3.15211422,5.4528866,3.11049433,3.25228365,9.3802023,3.4243585,6.2689349,6.1257825,4.9061389,2.73141671
3.4230595,3.13616036,2.836018604,3.37799506,3.30149834,2.90922068,3.3115578,3.2807278,3.5548693,3.0492669,3.59770463,2.93879212,3.046237,2.94149829,7.7973807,8.1820003,4.9465953,3.6321588,3.9784877,2.99777564,2.92004934,3.1401355,3.9280411,3.3331175,3.1839876,3.3435008,3.17638065,2.78992714,3.3594658,2.3660809,3.35633383,3.2694616,3.41175453,3.8376354,3.3470693,3.0206133,3.47013823,6.5517163,2.24147145,3.5088759,1.1157048,3.12684007,2.7652409507,3.7718166,2.947996,3.32368473,1.0002901,1.9461483,3.49349795,2.9971466,10.5635353,2.2042757,1.0269171,2.54259957,3.72978787,3.32834093,2.48439462,6.4991546,3.9669837,3.3749337,3.9948326,3.23726104,2.7776822,11.7637763,4.7975523,4.2006706,3.1652162,2.713226796,3.4949121,2.725762406,3.365365,3.4360343,3.2581441,3.04204963,3.01817237,3.25319777,8.4011957,3.2172929,3.48499225,3.13852937,2.95868186,4.0511966,3.5228229,3.65929995,3.16267465,2.45986874,3.420967,3.6872204,3.5439802,3.4502422,3.5721917,3.2184873,1.0037324,3.3117272,3.01903556,2.63501591,2.700153713,2.87460878,3.04712687,4.4608187,4.1619624,2.1744669,3.7884166,2.95052634,5.9363703,3.6225311,3.8311726,6.3327119,3.61220436,2.8428832,3.00857185,3.43480013,3.16757287,3.4492192,3.26146595,3.6022401,42.3699233,3.11280896,4.1637693,3.0633473,1.7148913,3.01879815,1.91938786,3.35519413,1.3093647,3.6889132,1.6634791,1.335507,3.39123074,1.3363727,3.17653407,2.5008951,3.1991567,3.68839787,6.8800356,1.6862694,2.67932663,2.9693126,3.58208285,1.2062583,4.3818661,4.0248319,3.10101153,3.3007009,3.02063028,3.21579636,3.8176449,3.70732586,3.19558994,3.20235492,3.08326144,3.4685268,1.0146445,1.5297364,3.0619353,3.3507739,3.22669936,2.92760932,3.54608457,3.37109785,2.2022417,2.85329496,3.8328218,3.08348556,2.93123825,3.3261415,19.2062363,4.5168242,3.988495,2.389251,3.15969623,3.13929628,3.01629425,3.7963896,1.0564046,2.47447817,3.59503273,2.64938861,2.39783956,3.19100018,2.1289799,3.15225763,16.3814823,2.93795676,2.92299609,3.03956534,3.04053108,3.22541626,22.1392503,3.02130253,2.82656493,3.36078916,3.0180162,5.3361233,3.0351276,3.51419763,2.55339282,6.9743643,5.0715349,2.89013572,1.058833,3.10369445,3.22997363,5.2740929,3.02405466,3.25402327,7.3093313,3.4512503,4.5176135,5.3038719,4.9020213,2.61351879
3.4083688,3.13616036,2.836548765,3.31058643,3.30232237,2.91034794,3.2763015,4.3095584,3.8201148,3.0489502,3.59723995,2.92953187,3.046237,2.98077465,6.3110039,10.9304723,7.3434383,3.29678957,3.8563467,2.99777564,2.91979114,1.9634261,3.9466941,3.31209187,3.17714305,3.3360452,3.24981202,2.855086145,3.35678784,2.34587638,4.2379762,3.25674613,3.43515835,3.8537779,3.34441034,2.92883204,3.4629742,6.5563011,2.3956905,3.21444477,1.2393267,2.3334532,3.1508412,3.7654246,3.23774643,3.32412027,1.000269,1.9310362,3.49276404,2.797255726,10.3905823,2.46896668,1.1376424,3.551207,3.7249154,3.3337834,2.48869095,7.00582,3.5269144,3.3889774,3.18445565,3.23877944,2.77748541,11.3723893,5.0096595,4.1199308,3.15709747,2.747654897,3.49816493,2.662959655,3.3616047,3.39253215,3.26211725,3.21259437,2.9892651,3.12196643,2.9332067,3.21854324,3.4300792,3.09519084,2.88155091,3.8584988,3.5208753,3.49676047,3.16293804,2.45972527,3.3429477,3.7189441,3.55603604,3.4428646,3.555728,3.677012,1.0000001,2.92656871,3.0193444,2.63483504,3.06207315,3.10913945,2.97394281,3.8309453,4.3025445,2.17423175,3.69572423,2.95011082,6.5140573,3.6394287,3.74229793,4.8873997,3.6250438,2.847566356,3.0258266,3.44360797,3.287592,3.4486066,3.24897103,3.9818914,41.7225233,3.11336992,4.205528,3.0608818,2.39472852,3.01863847,1.7701432,3.49485986,1.1908588,3.8836642,1.6478583,1.1007718,3.3826806,1.0762596,3.1594421,2.50064005,3.1838388,3.61369453,6.2160947,5.0402005,2.91315593,2.9691736,3.6136046,1.0080108,4.4616878,4.0218445,3.1091501,3.301729,3.0204463,3.18655534,3.889794,3.69670574,3.1954844,3.20220546,3.07994605,3.53433715,1.0041042,1.5782625,3.0647131,3.3676021,3.22087987,2.92307442,3.54720156,3.31098966,1.7101033,2.92967064,3.67132,3.20024897,2.82800638,3.4325662,25.0075533,4.5606539,4.3053448,2.36231063,3.1627506,3.13929628,3.01629425,3.7619794,1.0888997,2.4671231,3.5676824,2.648077254,2.93225018,3.1887072,2.1287654,3.15245615,19.6747443,3.649974,2.92278397,3.08711643,3.02650125,3.23089663,14.1913053,2.65416414,2.83456487,3.28216026,3.08196293,4.2488729,3.07098405,3.459685,2.51358391,6.3247018,3.73736624,2.89031595,1.0435352,3.1011832,3.12714593,5.2927387,3.10947717,3.2526045,10.6882698,3.4684986,6.8153398,4.8434431,4.728584,2.61654347
3.43680356,3.13616036,2.836719324,3.3847493,3.32014934,2.9101812,3.32087783,4.261836,3.6523553,3.04943527,3.5985665,3.71126733,3.046237,2.9588805,7.1472243,10.6828723,3.74579476,3.7905334,3.9905587,2.99777564,2.92025315,2.0274656,3.9129353,3.4087552,3.1869442,3.349385,3.2233297,2.793711857,3.3599326,2.36665903,3.46991597,3.2887025,3.4383788,3.8431393,3.4248212,3.02506457,3.49070756,6.524616,2.2121361,3.42645554,1.1945913,3.1455383,3.00165811,3.7819883,3.7662411,3.31836156,1.0009837,1.9522401,3.50695537,2.85573569,10.5106819,2.121823,1.0229149,2.774415174,3.7350017,3.33446596,2.52493497,5.394722,3.7786817,3.39468656,6.1369673,3.24044923,2.778046691,5.1142111,4.9026141,4.249609,3.18194718,2.7153661,3.490613,2.776686094,3.3650244,3.4658964,3.25501312,3.16716777,3.00246037,3.242823,1.0000089,3.21765686,3.49436037,3.14360805,2.97078924,3.8574042,3.521913,3.8655448,3.16301916,2.46002654,3.45854173,3.5649545,3.5421757,3.46764473,3.483662,3.45780943,9.4450075,4.0280182,3.0187654,2.635475625,2.52817657,3.05214832,3.04673202,5.5655587,4.2105001,2.1746299,3.6853206,2.95068466,6.2851586,3.8951731,3.7322326,6.1995203,3.6794814,2.845639114,2.99174516,3.449241,3.2110896,3.44814025,3.26730506,3.824565,56.7015963,3.1132752,4.1659023,3.06351687,1.89582674,3.01921884,2.0065293,3.886906,1.1466764,3.5467739,1.5058596,1.1053915,3.4040465,1.1481411,3.19913517,2.5009412,3.21345465,3.75786106,7.293421,3.02313558,2.38011072,2.96953507,3.5363607,3.9745569,4.9704134,4.0268057,3.1072748,3.3015588,3.02160634,3.2642959,3.6634873,3.71432803,3.1965097,3.20733325,3.08350767,3.5167552,1.0107348,1.4934257,3.06392394,3.3626842,3.29614465,2.95037918,3.55681465,3.36828,1.7822715,2.9189691,3.8789354,3.13378782,3.50504087,3.11840148,21.0574713,4.6490149,4.0847208,2.38034995,3.13322375,3.13929628,3.01629425,3.819277,1.0844426,2.47472818,3.58847366,2.6506811,2.775487897,3.1923462,2.1289193,3.15197424,25.0462803,3.12620152,2.94179673,3.00075592,2.853627,3.22707076,21.6534093,3.23410357,2.89081014,3.3862357,3.01886447,3.9393966,3.10015447,3.60325263,2.66681324,7.5414923,4.6499466,2.89018056,1.2001653,3.1034978,3.21712632,5.3962362,3.0630156,3.25738625,8.7999956,3.46007804,5.6529573,6.1027193,4.5145782,2.88856263
3.427688,3.13616036,2.83661018,3.3352272,3.30558865,2.90909365,3.31389175,3.6409849,3.5086976,3.04940422,3.5970764,2.52011879,3.046237,2.96916663,6.2843853,7.306226,5.7827693,3.6071818,3.9445296,2.99777564,2.92008373,2.9102975,3.9206534,3.3364682,3.16931854,3.33263086,3.18685968,2.793225625,3.35757135,2.3576099,3.16940228,3.25625224,3.38665734,3.8022003,3.3328021,3.02424524,3.4462896,5.8729291,2.2363591,3.39564405,1.1310613,2.736913412,2.775933362,3.7733506,2.8556618,3.3198367,1.0005486,1.958348,3.49665175,3.00237703,8.9313473,2.1328441,1.0312196,3.3296035,3.73374764,3.3375551,2.4939697,6.9132593,3.7627458,3.46984146,3.08042575,3.2396919,2.777755226,4.1890571,5.4545183,4.1070273,3.19484134,2.732147417,3.48572944,2.729893367,3.3625007,3.4392658,3.25347782,3.01404796,3.02272306,3.2351613,8.3844133,3.2176033,3.47940336,3.1224834,2.94327222,3.8769499,3.51490496,3.4647305,3.16269646,2.45992984,3.45517353,3.696987,3.5436207,3.4563557,3.4598119,3.2520508,1.0000002,3.2289023,3.01923035,2.63508822,2.86208141,2.86559912,2.98906573,3.36765514,4.3303882,2.17458026,3.57958184,2.95045896,6.4328483,3.65554677,3.6952722,5.4430713,3.6348347,2.84049011,2.9998453,3.44558947,3.16614096,3.4486222,3.26261477,3.7802099,39.0846793,3.11252515,4.3868912,3.06387044,2.42945747,3.01888142,2.02815346,3.33110724,1.0968953,3.62224833,1.75972025,1.3671963,3.3948114,1.2763221,3.1797212,2.50049175,3.18295435,3.67659054,6.6082735,1.1061196,2.8732398,2.96940124,3.58925627,5.2390768,4.3382107,4.0256749,3.10759757,3.30652855,3.02071257,3.28190724,3.8417038,3.7104248,3.19538833,3.20185645,3.08155317,3.42298375,1.0123563,1.5544162,3.06189684,3.34694676,3.2217761,2.89462054,3.54622976,3.3668913,2.0183075,2.863751595,3.7468524,3.1493909,2.89065094,3.18345688,23.9056343,4.5078765,3.8054662,2.37187038,3.16301562,3.13929628,3.01629425,3.7878345,1.0251437,2.47386588,3.5872933,2.651258496,2.73078629,3.1932507,2.1288543,3.1521777,14.9515123,3.4378368,2.91474749,3.02208008,2.744143145,3.22469686,15.5338273,3.06862692,2.772045146,3.336559,2.9425499,5.0993457,3.02020947,3.5573502,2.59543639,6.2802739,4.4949655,2.8900416,1.0395372,3.10338093,3.24665574,5.3531518,3.0361135,3.25511904,7.1173479,3.5201146,4.9976103,5.5138407,4.397002,2.49868338
3.44470905,3.13616036,2.83670499,3.3991726,3.2995644,2.90855112,3.317064,3.9148937,3.65182523,3.04942237,3.59905927,3.33880155,3.046237,2.92652862,6.9379953,8.111861,3.57311175,3.8813697,4.0309911,2.99777564,2.92021508,2.86207571,3.9097637,3.38833795,3.20283933,3.3646575,3.1874245,2.78517816,3.3594855,2.36902784,3.44498764,3.2673724,3.44103454,3.8495896,3.36193184,3.03556366,3.50127767,6.516649,2.14434443,3.4910196,1.1274637,3.41588096,2.742266865,3.7828977,2.877464635,3.31631325,1.0010669,1.95645563,3.53933106,2.95634499,10.1908519,2.0966672,1.0255145,2.43132685,3.7355052,3.3420182,2.51815049,5.4541366,3.9584106,3.3667008,4.9382889,3.23831124,2.77800367,2.9136601,5.1393895,4.2820521,3.22695227,2.692151775,3.49080203,2.785694988,3.3695047,3.50299047,3.2557521,3.07597862,3.02838416,3.27164213,9.0817306,3.2175492,3.5070904,3.16435285,2.99936472,3.8493829,3.5198554,3.63508187,3.1627353,2.46006207,3.45470147,3.5839958,3.5446332,3.4701141,3.4951713,3.0516733,1.0318074,3.47770737,3.01865063,2.635451836,2.40775297,2.850477104,3.09310464,5.820131,4.4326383,2.1751543,3.5628047,2.9509961,6.4111252,3.61743556,3.71171204,6.3581171,3.6683882,2.84311497,2.99476592,3.450262,3.1727421,3.45013146,3.26843343,3.70280234,24.0039413,3.11331622,4.2325994,3.06812347,3.08380235,3.0194676,2.0502851,3.38569645,1.2834626,3.51428656,1.5620386,1.2515948,3.4057763,1.0993643,3.19731863,2.5012578,3.2123778,3.7804794,6.7432751,1.0313315,2.42846586,2.96963387,3.6028088,2.5748302,4.9104619,4.0269058,3.1057507,3.3025435,3.02125825,3.2236543,3.7016274,3.6876325,3.19590114,3.20426626,3.0845611,3.5747052,1.010676,1.4982641,3.0631046,3.3438851,3.2453239,2.9568706,3.5533783,3.3843511,2.95227758,2.853591924,3.8484953,3.15565212,3.34868227,3.15035985,28.7154593,4.5287677,4.1991553,2.39248977,3.15599434,3.13929628,3.01629425,3.8405537,1.0148964,2.47774155,3.5977461,2.65124131,2.67413749,3.19315542,2.1289232,3.15198438,20.9546593,3.5703353,2.92903276,2.99939823,2.91139383,3.2275861,19.6280813,3.13380636,2.93771927,3.43632833,2.97355932,5.0466089,3.08433975,3.53900294,2.62853743,7.6978047,5.2502873,2.89004695,1.1082803,3.10474868,3.2057864,5.449264,3.02035422,3.2547382,8.189965,3.4478594,5.4726033,6.7729933,4.8166559,2.69615374
